id,model,variant,temperature,question,reference,prediction,latency,pred_len
69207,anthropic/claude-3-haiku,detailed,0.0,Какое право существовало у лордов,отвергать билль,ограничено,0.5896766185760498,10
23039,anthropic/claude-3-haiku,detailed,0.0,Чему неуклонно следуют банки?,Требованиям обязательного резервирования.,минимуму,0.6371355056762695,8
77659,anthropic/claude-3-haiku,detailed,0.0,Сколько тысяч лет назад началась эпоха экстремальных затоплений?,16 тыс. л. н,16 тыс. л. н.,1.1584792137145996,13
4889,anthropic/claude-3-haiku,detailed,0.0,Какой феномен создан людьми для достижения его в максимально отдаленном будущем?,Феномена последнего человека на земле .,последний человек на земле,0.8719346523284912,26
18286,anthropic/claude-3-haiku,detailed,0.0,"Что как и автобус, движется по автомобильной дороге с твёрдым покрытием?",Троллейбус,Троллейбус,1.0749270915985107,10
21733,anthropic/claude-3-haiku,detailed,0.0,Как расположены островные платформы на станциях с остановкой экспресса?,между путями одного направления,между путями одного направления,0.48557519912719727,31
13047,anthropic/claude-3-haiku,detailed,0.0,Какой аспект вызывает большое количество споров между религиозными и научными взглядами?,аспект эволюционной биологии,происхождение человека,0.696774959564209,22
39949,anthropic/claude-3-haiku,detailed,0.0,Кто в 1974 году записал рок-альбом Benzaiten?,Osamu Kitajima,Osamu Kitajima,0.825516939163208,14
19528,anthropic/claude-3-haiku,detailed,0.0,Какие системы стали крупными вехами в области систематики?,системы Симпсона,"Симпсона, Маккенны",0.7023396492004395,18
59486,anthropic/claude-3-haiku,detailed,0.0,Каким сообщением шел поезд №12?,Смоленск — Раненбург,Смоленск — Раненбург,0.6278562545776367,20
36533,anthropic/claude-3-haiku,detailed,0.0,Чего не имеет большинство прокариотических клеток?,внутренних мембран,внутренних мембран,2.3391880989074707,18
2041,anthropic/claude-3-haiku,detailed,0.0,"Какая промышленность отдаёт предпочтение тутовому, или шелковичному, шелкопряду?",Текстильная,Текстильная промышленность,0.5312047004699707,26
44742,anthropic/claude-3-haiku,detailed,0.0,Что делают археоциты и хоаноциты?,переваривают пищу в пищеварительных вакуолях,переваривают пищу,1.5459418296813965,17
59701,anthropic/claude-3-haiku,detailed,0.0,В какие годы производилась бас-мандолина Гибсон Мандо-бас Фирмой Гибсон ?,С 1912 по 1930 годы.,1912-1930,0.8006484508514404,9
