id,model,variant,temperature,question,reference,prediction,latency,pred_len
69207,openai/gpt-4.1-nano,fewshot,0.0,Какое право существовало у лордов,отвергать билль,отвергать билль,0.6044156551361084,15
23039,openai/gpt-4.1-nano,fewshot,0.0,Чему неуклонно следуют банки?,Требованиям обязательного резервирования.,требованиям,0.5688736438751221,11
77659,openai/gpt-4.1-nano,fewshot,0.0,Сколько тысяч лет назад началась эпоха экстремальных затоплений?,16 тыс. л. н,16,0.597210168838501,2
4889,openai/gpt-4.1-nano,fewshot,0.0,Какой феномен создан людьми для достижения его в максимально отдаленном будущем?,Феномена последнего человека на земле .,последний человек,0.506366491317749,17
18286,openai/gpt-4.1-nano,fewshot,0.0,"Что как и автобус, движется по автомобильной дороге с твёрдым покрытием?",Троллейбус,Троллейбус,0.5319807529449463,10
21733,openai/gpt-4.1-nano,fewshot,0.0,Как расположены островные платформы на станциях с остановкой экспресса?,между путями одного направления,между путями одного направления,0.5511903762817383,31
13047,openai/gpt-4.1-nano,fewshot,0.0,Какой аспект вызывает большое количество споров между религиозными и научными взглядами?,аспект эволюционной биологии,происхождение человека,0.6392965316772461,22
39949,openai/gpt-4.1-nano,fewshot,0.0,Кто в 1974 году записал рок-альбом Benzaiten?,Osamu Kitajima,Osamu Kitajima,0.5681285858154297,14
19528,openai/gpt-4.1-nano,fewshot,0.0,Какие системы стали крупными вехами в области систематики?,системы Симпсона,системы Симпсона и Маккенны,0.9798812866210938,27
59486,openai/gpt-4.1-nano,fewshot,0.0,Каким сообщением шел поезд №12?,Смоленск — Раненбург,Смоленск — Раненбург,0.5933945178985596,20
36533,openai/gpt-4.1-nano,fewshot,0.0,Чего не имеет большинство прокариотических клеток?,внутренних мембран,внутренних мембран,0.7014057636260986,18
2041,openai/gpt-4.1-nano,fewshot,0.0,"Какая промышленность отдаёт предпочтение тутовому, или шелковичному, шелкопряду?",Текстильная,текстильная,0.5545990467071533,11
44742,openai/gpt-4.1-nano,fewshot,0.0,Что делают археоциты и хоаноциты?,переваривают пищу в пищеварительных вакуолях,переваривают пищу,0.5284786224365234,17
59701,openai/gpt-4.1-nano,fewshot,0.0,В какие годы производилась бас-мандолина Гибсон Мандо-бас Фирмой Гибсон ?,С 1912 по 1930 годы.,1912-1930,0.5719325542449951,9
27575,openai/gpt-4.1-nano,fewshot,0.0,В чем роль специалиста по связям с общественность?,в коммуникации с массовой аудиторией различными способами,коммуникация с массовой аудиторией,0.6086759567260742,34
15585,openai/gpt-4.1-nano,fewshot,0.0,Чем являлась Новая Рейнская газета для К. Маркса и Ф. Энгельса?,Партийной прессой.,средство,0.6383912563323975,8
41428,openai/gpt-4.1-nano,fewshot,0.0,"На сколько процентов объём отгруженных товаров собственного производства, выполненных работ и услуг по крупным и средним промышленным предприятиям в 2010 году больше, чем в 2009 году?","На 26,1 процента больше.","26,1",0.5152850151062012,4
63271,openai/gpt-4.1-nano,fewshot,0.0,Сколько лет происходит развитие мозговой массы?,до 20 лет.,до 20 лет,0.5568075180053711,9
68313,openai/gpt-4.1-nano,fewshot,0.0,Что появилось вследствие сравнительно-исторического исследования индоиранской ветви индоевропейских языков?,термин индоиранские языки,термин индоиранские языки,0.6538007259368896,25
80474,openai/gpt-4.1-nano,fewshot,0.0,Вследствие чего возникают сезоны?,вследствие наклона земной оси относительно плоскости орбиты,наклон земной оси,0.5751111507415771,17
66281,openai/gpt-4.1-nano,fewshot,0.0,"Какой статьей допускаются исключения в отношении запрета, установленного частью 6 статьи 9?",частью 4 статьи 9 Закона о торговле,нет ответа,0.6482553482055664,10
45026,openai/gpt-4.1-nano,fewshot,0.0,"При игре на каком инструменте используется ударный способ, когда медные тангеноты вдавливают струны в твёрдую поверхность и заставляют их вибрировать от удара?",на клавикорде,клавикорд,0.5735900402069092,9
59480,openai/gpt-4.1-nano,fewshot,0.0,Кто частично финансировал проект Луи?,старший брат Огюст,Огюст,0.5923089981079102,5
76436,openai/gpt-4.1-nano,fewshot,0.0,Что образуется в результате выделения газов при быстром застывании кислых и средних лав?,пористое вулканическое стекло,пемза,2.6616179943084717,5
14891,openai/gpt-4.1-nano,fewshot,0.0,Для чего пути кладутся с учётом габаритов подвижного состава?,"для безопасного прохода по мостам, тоннелям и другим строениям",Обеспечение безопасного прохода,0.5607967376708984,31
20762,openai/gpt-4.1-nano,fewshot,0.0,"Что оценивают, определяя меру развития государственного регулирования?","селективное регулирование, антициклическое регулирование, программирование",нет ответа,0.7380101680755615,10
82940,openai/gpt-4.1-nano,fewshot,0.0,На что надеется автор?,это поможет решить проблемы человеческого общества,решить проблемы человеческого общества,0.5493438243865967,38
379,openai/gpt-4.1-nano,fewshot,0.0,Куда Карл неоднократно вторгался?,В Бретань.,Бретань,0.5609414577484131,7
28946,openai/gpt-4.1-nano,fewshot,0.0,Что позволила изобразить писателю свойственная ему объективность?,Динамику внутренней жизни героев.,глубоко и правдиво,0.5817313194274902,18
42607,openai/gpt-4.1-nano,fewshot,0.0,"В каком году Сакс приехал в Париж, для того, чтобы продвинуть саксофон?",1842,1842,0.62264084815979,4
43591,openai/gpt-4.1-nano,fewshot,0.0,Какой фасад имеет вид театральной декорации?,Двухъярусный,фасад,1.2717113494873047,5
80345,openai/gpt-4.1-nano,fewshot,0.0,С какого момепнта управлению Сибирью перешло к казанскому дворцу?,С 1599 г.,с 1599,0.9207158088684082,6
8167,openai/gpt-4.1-nano,fewshot,0.0,"Как называлось первое устройство, использующееся только в качестве микрофона?",угольный микрофон Эдисона,угольный микрофон,1.433823823928833,17
36561,openai/gpt-4.1-nano,fewshot,0.0,В каком году было подписано соглашение между MasterCard International и европейской системой Eurocard?,В 1968 г.,1968,1.6826438903808594,4
58300,openai/gpt-4.1-nano,fewshot,0.0,При какое температуре происходит возбуждение вращательных уровней молекулы CO?,в несколько десятков кельвин,несколько десятков кельвин,0.6182425022125244,26
16443,openai/gpt-4.1-nano,fewshot,0.0,С помощью чего могут быть изменены вариации ВМП?,При помощи спутниковой альтиметрии.,сезонные изменения,2.4075028896331787,18
49387,openai/gpt-4.1-nano,fewshot,0.0,Какие есть виды смешанного состава облаков,"кучево-дождевые, слоисто-дождевые, высоко-слоистые","кучево-дождевые, слоисто-дождевые, высоко-слоистые",0.7173652648925781,50
47221,openai/gpt-4.1-nano,fewshot,0.0,Что такое донорство крови и ее компонентов?,добровольная сдача крови,добровольная сдача крови и её компонентов,0.9235475063323975,41
79474,openai/gpt-4.1-nano,fewshot,0.0,Как у других особей могут быть распределены побелевшие участки?,Несимметрично.,несимметрично,1.5343749523162842,13
83826,openai/gpt-4.1-nano,fewshot,0.0,ктоо завоевал Пиренейский полуостров?,римлянами,римляне,0.7204477787017822,7
34127,openai/gpt-4.1-nano,fewshot,0.0,Когда возрастают агентские издержки?,При переходе к понижающей фазе деловой активности,при понижении деловой активности,0.7469618320465088,32
28839,openai/gpt-4.1-nano,fewshot,0.0,Чего требуют от культуристов высокие темпы восстановления и роста мышц?,соблюдения специализированной диеты,специализированной диеты,0.7853021621704102,24
41551,openai/gpt-4.1-nano,fewshot,0.0,В чем могут наблюдаться точно такие же феномены?,В свободном программном обеспечении,В свободном программном обеспечении,0.5874652862548828,35
23146,openai/gpt-4.1-nano,fewshot,0.0,От чего зависело время нахождения под водой подводной лодки?,от заряда батарей и запаса кислорода,от заряда батарей и запаса кислорода,0.7430274486541748,36
61553,openai/gpt-4.1-nano,fewshot,0.0,Какое название получила группа диффеоморфизмов?,имя групп Ли,группы Ли,0.7123141288757324,9
12830,openai/gpt-4.1-nano,fewshot,0.0,Какая система в 1920 году после установления советской власти в Азербайджане была значительно перестроена?,финансово-кредитная система,финансово-кредитная,0.8664395809173584,19
7518,openai/gpt-4.1-nano,fewshot,0.0,С чем взаимосвязано распространение гена светлой кожи SLC24A5 по Центральной и Южной Европе?,миграцией неолитических земледельцев с Ближнего Востока,миграция неолитических земледельцев,0.6498498916625977,35
59283,openai/gpt-4.1-nano,fewshot,0.0,Что может быть местом совершения сделок спот?,Межбанковский валютный рынок,"межбанковский валютный рынок, фондовые и иные биржи, внебиржевые рынки",0.7404952049255371,70
24823,openai/gpt-4.1-nano,fewshot,0.0,Какая марка автомобилей производится с использованием большого количества труда и только некоторых станков общего назначения?,Лотус,Лотус,0.520322322845459,5
51886,openai/gpt-4.1-nano,fewshot,0.0,Какой формат экрана используется в телевидении высокой чёткости?,16:9,16:9,0.8110034465789795,4
1015,openai/gpt-4.1-nano,fewshot,0.0,Что вдохновило Байрона на сочинение Шильонского узника ?,История Шильонского замка,Шильонский замок,0.5913429260253906,16
40635,openai/gpt-4.1-nano,fewshot,0.0,К кому перешло лидерство в области реактивной пассажирской авиации,к Советскому Союзу с авиалайнером Ту-104,Советский Союз,0.5567970275878906,14
40076,openai/gpt-4.1-nano,fewshot,0.0,Что стало причиной упадка города?,море продолжило отступать,отступление моря,0.597362756729126,16
47702,openai/gpt-4.1-nano,fewshot,0.0,Когда в Исландии введен запрет на получение иностранных пожертвований для политических партий?,В 1978 году.,1978,0.7794787883758545,4
