instruction,input,output,task_type
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.",отличный iphone 14 pro! купил в магазине apple на тверской . камера супер,positive,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,отличный iphone 14 pro! купил в магазине apple на тверской . камера супер,Тональность: positive. Обоснование: текст содержит позитивные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).",отличный iphone 14 pro! купил в магазине apple на тверской . камера супер,Тональность: positive. Объекты: отличный iphone 14 pro! купил в магазине apple на тверской . камера супер,multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.",ужасное обслуживание в сбербанке на красной площади. менеджер иван петров вобще не помог,negative,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,ужасное обслуживание в сбербанке на красной площади. менеджер иван петров вобще не помог,Тональность: negative. Обоснование: текст содержит негативные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).",ужасное обслуживание в сбербанке на красной площади. менеджер иван петров вобще не помог,Тональность: negative. Объекты: ужасное обслуживание в сбербанке на красной площади. менеджер иван петров вобще не помог,multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.",спасибо огромное сотрудникам мтс за то что 3 часа держали меня в очереди! просто восхитительно,negative,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,спасибо огромное сотрудникам мтс за то что 3 часа держали меня в очереди! просто восхитительно,Тональность: negative. Обоснование: текст содержит негативные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).",спасибо огромное сотрудникам мтс за то что 3 часа держали меня в очереди! просто восхитительно,Тональность: negative. Объекты: спасибо огромное сотрудникам мтс за то что 3 часа держали меня в очереди! просто восхитительно,multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","какой замечательный сервис в пятерочке касса сломалась прямо передо мной, а персонал даже не извинился",negative,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"какой замечательный сервис в пятерочке касса сломалась прямо передо мной, а персонал даже не извинился",Тональность: negative. Обоснование: текст содержит негативные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","какой замечательный сервис в пятерочке касса сломалась прямо передо мной, а персонал даже не извинился","Тональность: negative. Объекты: какой замечательный сервис в пятерочке касса сломалась прямо передо мной, а персонал даже не извинился",multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","iphone 13 хороший телефон, но цена кусается. в целом доволен покупкой в re store",positive,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"iphone 13 хороший телефон, но цена кусается. в целом доволен покупкой в re store",Тональность: positive. Обоснование: текст содержит позитивные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","iphone 13 хороший телефон, но цена кусается. в целом доволен покупкой в re store","Тональность: positive. Объекты: iphone 13 хороший телефон, но цена кусается. в целом доволен покупкой в re store",multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","ресторан белуга красивый и атмосфера приятная, но официант максим был невнимателен",neutral,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"ресторан белуга красивый и атмосфера приятная, но официант максим был невнимателен",Тональность: neutral. Обоснование: текст содержит нейтральные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","ресторан белуга красивый и атмосфера приятная, но официант максим был невнимателен","Тональность: neutral. Объекты: ресторан белуга красивый и атмосфера приятная, но официант максим был невнимателен",multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","хотя tesla model y и дорогая машина, и сервис в рольф премиум иногда подводит, но в целом я очень доволен покупкой",positive,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"хотя tesla model y и дорогая машина, и сервис в рольф премиум иногда подводит, но в целом я очень доволен покупкой",Тональность: positive. Обоснование: текст содержит позитивные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","хотя tesla model y и дорогая машина, и сервис в рольф премиум иногда подводит, но в целом я очень доволен покупкой","Тональность: positive. Объекты: хотя tesla model y и дорогая машина, и сервис в рольф премиум иногда подводит, но в целом я очень доволен покупкой",multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","не могу сказать что отель ритц карлтон плохой, просто ожидал большего за такие деньги",neutral,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"не могу сказать что отель ритц карлтон плохой, просто ожидал большего за такие деньги",Тональность: neutral. Обоснование: текст содержит нейтральные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","не могу сказать что отель ритц карлтон плохой, просто ожидал большего за такие деньги","Тональность: neutral. Объекты: не могу сказать что отель ритц карлтон плохой, просто ожидал большего за такие деньги",multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","заказал доставку в яндекс.еде из ресторана дача на рублевке привезли холодное, но курьер андрей был вежливый",neutral,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"заказал доставку в яндекс.еде из ресторана дача на рублевке привезли холодное, но курьер андрей был вежливый",Тональность: neutral. Обоснование: текст содержит нейтральные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","заказал доставку в яндекс.еде из ресторана дача на рублевке привезли холодное, но курьер андрей был вежливый","Тональность: neutral. Объекты: заказал доставку в яндекс.еде из ресторана дача на рублевке привезли холодное, но курьер андрей был вежливый",multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","macbook pro 16 работает как часы уже год, покупал в istore на арбате у консультанта елены",positive,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"macbook pro 16 работает как часы уже год, покупал в istore на арбате у консультанта елены",Тональность: positive. Обоснование: текст содержит позитивные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","macbook pro 16 работает как часы уже год, покупал в istore на арбате у консультанта елены","Тональность: positive. Объекты: macbook pro 16 работает как часы уже год, покупал в istore на арбате у консультанта елены",multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","сходил в кинотеатр октябрь посмотреть новый фильм marvel ну такое себе, но попкорн вкусный был",neutral,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"сходил в кинотеатр октябрь посмотреть новый фильм marvel ну такое себе, но попкорн вкусный был",Тональность: neutral. Обоснование: текст содержит нейтральные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","сходил в кинотеатр октябрь посмотреть новый фильм marvel ну такое себе, но попкорн вкусный был","Тональность: neutral. Объекты: сходил в кинотеатр октябрь посмотреть новый фильм marvel ну такое себе, но попкорн вкусный был",multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","обслуживание в банке втб на тверской оставляет желать лучшего, хотя менеджер ольга старалась помочь",negative,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"обслуживание в банке втб на тверской оставляет желать лучшего, хотя менеджер ольга старалась помочь",Тональность: negative. Обоснование: текст содержит негативные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","обслуживание в банке втб на тверской оставляет желать лучшего, хотя менеджер ольга старалась помочь","Тональность: negative. Объекты: обслуживание в банке втб на тверской оставляет желать лучшего, хотя менеджер ольга старалась помочь",multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","купил новый samsung galaxy s 24 ultra в dns на ленинском проспекте, консультант дмитрий иванович всё объяснил",positive,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"купил новый samsung galaxy s 24 ultra в dns на ленинском проспекте, консультант дмитрий иванович всё объяснил",Тональность: positive. Обоснование: текст содержит позитивные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","купил новый samsung galaxy s 24 ultra в dns на ленинском проспекте, консультант дмитрий иванович всё объяснил","Тональность: positive. Объекты: купил новый samsung galaxy s 24 ultra в dns на ленинском проспекте, консультант дмитрий иванович всё объяснил",multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.",ужинал в ресторане white rabbit на смоленской площади шеф повар владимир мухин превзошел ожидания,positive,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,ужинал в ресторане white rabbit на смоленской площади шеф повар владимир мухин превзошел ожидания,Тональность: positive. Обоснование: текст содержит позитивные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).",ужинал в ресторане white rabbit на смоленской площади шеф повар владимир мухин превзошел ожидания,Тональность: positive. Объекты: ужинал в ресторане white rabbit на смоленской площади шеф повар владимир мухин превзошел ожидания,multi_task
"Определи тональность следующего отзыва. Ответь одним словом: positive, negative или neutral.","норм телек lg купил в эльдорадо, продавец норм чел был, всё рассказал про функции",positive,sentiment_analysis
Проанализируй тональность отзыва и объясни свой вывод. Учитывай сарказм и иронию.,"норм телек lg купил в эльдорадо, продавец норм чел был, всё рассказал про функции",Тональность: positive. Обоснование: текст содержит позитивные индикаторы.,sentiment_analysis_detailed
"Выполни комплексный анализ отзыва: определи тональность и извлеки ключевые объекты (бренды, продукты, места).","норм телек lg купил в эльдорадо, продавец норм чел был, всё рассказал про функции","Тональность: positive. Объекты: норм телек lg купил в эльдорадо, продавец норм чел был, всё рассказал про функции",multi_task
