id,model,variant,temperature,question,reference,prediction,latency,pred_len
69207,google/gemini-2.5-flash-lite,fewshot,0.0,Какое право существовало у лордов,отвергать билль,отвергать билль,0.40274977684020996,15
23039,google/gemini-2.5-flash-lite,fewshot,0.0,Чему неуклонно следуют банки?,Требованиям обязательного резервирования.,нет ответа,0.5097672939300537,10
77659,google/gemini-2.5-flash-lite,fewshot,0.0,Сколько тысяч лет назад началась эпоха экстремальных затоплений?,16 тыс. л. н,16 тыс,0.6144025325775146,6
4889,google/gemini-2.5-flash-lite,fewshot,0.0,Какой феномен создан людьми для достижения его в максимально отдаленном будущем?,Феномена последнего человека на земле .,последний человек на земле,0.46832871437072754,26
18286,google/gemini-2.5-flash-lite,fewshot,0.0,"Что как и автобус, движется по автомобильной дороге с твёрдым покрытием?",Троллейбус,Троллейбус,0.3467700481414795,10
21733,google/gemini-2.5-flash-lite,fewshot,0.0,Как расположены островные платформы на станциях с остановкой экспресса?,между путями одного направления,между путями одного направления,0.3736903667449951,31
13047,google/gemini-2.5-flash-lite,fewshot,0.0,Какой аспект вызывает большое количество споров между религиозными и научными взглядами?,аспект эволюционной биологии,происхождение человека и его родственные отношения с обезьянами,0.4374876022338867,63
39949,google/gemini-2.5-flash-lite,fewshot,0.0,Кто в 1974 году записал рок-альбом Benzaiten?,Osamu Kitajima,Osamu Kitajima,0.5333802700042725,14
19528,google/gemini-2.5-flash-lite,fewshot,0.0,Какие системы стали крупными вехами в области систематики?,системы Симпсона,системы Симпсона и Маккенны,0.5114908218383789,27
59486,google/gemini-2.5-flash-lite,fewshot,0.0,Каким сообщением шел поезд №12?,Смоленск — Раненбург,Смоленск — Раненбург,0.4128715991973877,20
36533,google/gemini-2.5-flash-lite,fewshot,0.0,Чего не имеет большинство прокариотических клеток?,внутренних мембран,внутренних мембран,0.5241475105285645,18
2041,google/gemini-2.5-flash-lite,fewshot,0.0,"Какая промышленность отдаёт предпочтение тутовому, или шелковичному, шелкопряду?",Текстильная,Текстильная,0.42853689193725586,11
44742,google/gemini-2.5-flash-lite,fewshot,0.0,Что делают археоциты и хоаноциты?,переваривают пищу в пищеварительных вакуолях,переваривают пищу,0.5779623985290527,17
59701,google/gemini-2.5-flash-lite,fewshot,0.0,В какие годы производилась бас-мандолина Гибсон Мандо-бас Фирмой Гибсон ?,С 1912 по 1930 годы.,с 1912 по 1930 годы,0.5113718509674072,19
27575,google/gemini-2.5-flash-lite,fewshot,0.0,В чем роль специалиста по связям с общественность?,в коммуникации с массовой аудиторией различными способами,коммуникация с массовой аудиторией различными способами,0.41217780113220215,55
15585,google/gemini-2.5-flash-lite,fewshot,0.0,Чем являлась Новая Рейнская газета для К. Маркса и Ф. Энгельса?,Партийной прессой.,редактируемая ими газета,0.40430736541748047,24
41428,google/gemini-2.5-flash-lite,fewshot,0.0,"На сколько процентов объём отгруженных товаров собственного производства, выполненных работ и услуг по крупным и средним промышленным предприятиям в 2010 году больше, чем в 2009 году?","На 26,1 процента больше.","26,1 процента",0.40256357192993164,13
63271,google/gemini-2.5-flash-lite,fewshot,0.0,Сколько лет происходит развитие мозговой массы?,до 20 лет.,20 лет,0.42420220375061035,6
68313,google/gemini-2.5-flash-lite,fewshot,0.0,Что появилось вследствие сравнительно-исторического исследования индоиранской ветви индоевропейских языков?,термин индоиранские языки,индоиранские языки,1.2225329875946045,18
80474,google/gemini-2.5-flash-lite,fewshot,0.0,Вследствие чего возникают сезоны?,вследствие наклона земной оси относительно плоскости орбиты,наклона земной оси,0.40375757217407227,18
66281,google/gemini-2.5-flash-lite,fewshot,0.0,"Какой статьей допускаются исключения в отношении запрета, установленного частью 6 статьи 9?",частью 4 статьи 9 Закона о торговле,частью 4 статьи 9,0.4100308418273926,17
45026,google/gemini-2.5-flash-lite,fewshot,0.0,"При игре на каком инструменте используется ударный способ, когда медные тангеноты вдавливают струны в твёрдую поверхность и заставляют их вибрировать от удара?",на клавикорде,клавикорде,0.41327500343322754,10
59480,google/gemini-2.5-flash-lite,fewshot,0.0,Кто частично финансировал проект Луи?,старший брат Огюст,Огюст,0.6596019268035889,5
76436,google/gemini-2.5-flash-lite,fewshot,0.0,Что образуется в результате выделения газов при быстром застывании кислых и средних лав?,пористое вулканическое стекло,пемза,1.2363560199737549,5
14891,google/gemini-2.5-flash-lite,fewshot,0.0,Для чего пути кладутся с учётом габаритов подвижного состава?,"для безопасного прохода по мостам, тоннелям и другим строениям",для безопасного прохода по мостам тоннелям и другим строениям,0.5767972469329834,61
20762,google/gemini-2.5-flash-lite,fewshot,0.0,"Что оценивают, определяя меру развития государственного регулирования?","селективное регулирование, антициклическое регулирование, программирование","антимонополистическое регулирование; селективное регулирование, антициклическое регулирование, программирование; регулирование со стороны общественных объединений",0.5517215728759766,162
82940,google/gemini-2.5-flash-lite,fewshot,0.0,На что надеется автор?,это поможет решить проблемы человеческого общества,решить проблемы человеческого общества в 21 веке,0.38101720809936523,48
379,google/gemini-2.5-flash-lite,fewshot,0.0,Куда Карл неоднократно вторгался?,В Бретань.,Бретань,0.48661279678344727,7
28946,google/gemini-2.5-flash-lite,fewshot,0.0,Что позволила изобразить писателю свойственная ему объективность?,Динамику внутренней жизни героев.,динамику внутренней жизни героев,0.6416113376617432,32
42607,google/gemini-2.5-flash-lite,fewshot,0.0,"В каком году Сакс приехал в Париж, для того, чтобы продвинуть саксофон?",1842,1842,0.37617039680480957,4
43591,google/gemini-2.5-flash-lite,fewshot,0.0,Какой фасад имеет вид театральной декорации?,Двухъярусный,Двухъярусный,0.3583505153656006,12
80345,google/gemini-2.5-flash-lite,fewshot,0.0,С какого момепнта управлению Сибирью перешло к казанскому дворцу?,С 1599 г.,1599 г,0.39034128189086914,6
8167,google/gemini-2.5-flash-lite,fewshot,0.0,"Как называлось первое устройство, использующееся только в качестве микрофона?",угольный микрофон Эдисона,угольный микрофон Эдисона,0.4304382801055908,25
36561,google/gemini-2.5-flash-lite,fewshot,0.0,В каком году было подписано соглашение между MasterCard International и европейской системой Eurocard?,В 1968 г.,1968,0.5354998111724854,4
58300,google/gemini-2.5-flash-lite,fewshot,0.0,При какое температуре происходит возбуждение вращательных уровней молекулы CO?,в несколько десятков кельвин,несколько десятков кельвин,0.6718122959136963,26
16443,google/gemini-2.5-flash-lite,fewshot,0.0,С помощью чего могут быть изменены вариации ВМП?,При помощи спутниковой альтиметрии.,спутниковой альтиметрии,0.5508553981781006,23
49387,google/gemini-2.5-flash-lite,fewshot,0.0,Какие есть виды смешанного состава облаков,"кучево-дождевые, слоисто-дождевые, высоко-слоистые","кучево-дождевые, слоисто-дождевые, высоко-слоистые",0.5394542217254639,50
47221,google/gemini-2.5-flash-lite,fewshot,0.0,Что такое донорство крови и ее компонентов?,добровольная сдача крови,"добровольная сдача крови и (или) её компонентов донорами, а также мероприятия, направленные на организацию и обеспечение безопасности заготовки крови и её компонентов",0.4666738510131836,166
79474,google/gemini-2.5-flash-lite,fewshot,0.0,Как у других особей могут быть распределены побелевшие участки?,Несимметрично.,несимметрично,0.3804774284362793,13
83826,google/gemini-2.5-flash-lite,fewshot,0.0,ктоо завоевал Пиренейский полуостров?,римлянами,римляне,0.6002252101898193,7
34127,google/gemini-2.5-flash-lite,fewshot,0.0,Когда возрастают агентские издержки?,При переходе к понижающей фазе деловой активности,при переходе к понижающей фазе деловой активности,0.4017345905303955,49
28839,google/gemini-2.5-flash-lite,fewshot,0.0,Чего требуют от культуристов высокие темпы восстановления и роста мышц?,соблюдения специализированной диеты,соблюдения специализированной диеты,0.3810279369354248,35
41551,google/gemini-2.5-flash-lite,fewshot,0.0,В чем могут наблюдаться точно такие же феномены?,В свободном программном обеспечении,В свободном программном обеспечении,0.43462300300598145,35
23146,google/gemini-2.5-flash-lite,fewshot,0.0,От чего зависело время нахождения под водой подводной лодки?,от заряда батарей и запаса кислорода,заряда батарей и запаса кислорода,0.38380956649780273,33
61553,google/gemini-2.5-flash-lite,fewshot,0.0,Какое название получила группа диффеоморфизмов?,имя групп Ли,группы Ли,0.46747589111328125,9
12830,google/gemini-2.5-flash-lite,fewshot,0.0,Какая система в 1920 году после установления советской власти в Азербайджане была значительно перестроена?,финансово-кредитная система,финансово-кредитная система,0.9035496711730957,27
7518,google/gemini-2.5-flash-lite,fewshot,0.0,С чем взаимосвязано распространение гена светлой кожи SLC24A5 по Центральной и Южной Европе?,миграцией неолитических земледельцев с Ближнего Востока,миграцией неолитических земледельцев с Ближнего Востока,0.6012165546417236,55
59283,google/gemini-2.5-flash-lite,fewshot,0.0,Что может быть местом совершения сделок спот?,Межбанковский валютный рынок,"межбанковский валютный рынок, фондовые и иные биржи, а также внебиржевые рынки",0.39541149139404297,78
24823,google/gemini-2.5-flash-lite,fewshot,0.0,Какая марка автомобилей производится с использованием большого количества труда и только некоторых станков общего назначения?,Лотус,Лотус,0.4251680374145508,5
51886,google/gemini-2.5-flash-lite,fewshot,0.0,Какой формат экрана используется в телевидении высокой чёткости?,16:9,16:9,0.5111610889434814,4
