id,model,variant,temperature,question,reference,prediction,latency,pred_len
69207,openai/gpt-4.1-nano,detailed,0.0,Какое право существовало у лордов,отвергать билль,отвергать,1.715691089630127,9
23039,openai/gpt-4.1-nano,detailed,0.0,Чему неуклонно следуют банки?,Требованиям обязательного резервирования.,требованиям,1.7429583072662354,11
77659,openai/gpt-4.1-nano,detailed,0.0,Сколько тысяч лет назад началась эпоха экстремальных затоплений?,16 тыс. л. н,16,0.7775933742523193,2
4889,openai/gpt-4.1-nano,detailed,0.0,Какой феномен создан людьми для достижения его в максимально отдаленном будущем?,Феномена последнего человека на земле .,последний человек на земле,0.5529994964599609,26
18286,openai/gpt-4.1-nano,detailed,0.0,"Что как и автобус, движется по автомобильной дороге с твёрдым покрытием?",Троллейбус,Троллейбус,1.1253938674926758,10
21733,openai/gpt-4.1-nano,detailed,0.0,Как расположены островные платформы на станциях с остановкой экспресса?,между путями одного направления,между путями одного направления,1.798858642578125,31
13047,openai/gpt-4.1-nano,detailed,0.0,Какой аспект вызывает большое количество споров между религиозными и научными взглядами?,аспект эволюционной биологии,происхождение человека,1.0374422073364258,22
39949,openai/gpt-4.1-nano,detailed,0.0,Кто в 1974 году записал рок-альбом Benzaiten?,Osamu Kitajima,Osamu Kitajima,0.9376633167266846,14
19528,openai/gpt-4.1-nano,detailed,0.0,Какие системы стали крупными вехами в области систематики?,системы Симпсона,Системы Симпсона и Маккенны,1.7426073551177979,27
59486,openai/gpt-4.1-nano,detailed,0.0,Каким сообщением шел поезд №12?,Смоленск — Раненбург,Смоленск — Раненбург,0.822772741317749,20
36533,openai/gpt-4.1-nano,detailed,0.0,Чего не имеет большинство прокариотических клеток?,внутренних мембран,внутренних мембран,0.8876378536224365,18
2041,openai/gpt-4.1-nano,detailed,0.0,"Какая промышленность отдаёт предпочтение тутовому, или шелковичному, шелкопряду?",Текстильная,Текстильная,1.5049777030944824,11
44742,openai/gpt-4.1-nano,detailed,0.0,Что делают археоциты и хоаноциты?,переваривают пищу в пищеварительных вакуолях,переваривают пищу,0.9537737369537354,17
59701,openai/gpt-4.1-nano,detailed,0.0,В какие годы производилась бас-мандолина Гибсон Мандо-бас Фирмой Гибсон ?,С 1912 по 1930 годы.,с 1912 по 1930 годы,1.022871971130371,19
27575,openai/gpt-4.1-nano,detailed,0.0,В чем роль специалиста по связям с общественность?,в коммуникации с массовой аудиторией различными способами,коммуникация,1.6325712203979492,12
15585,openai/gpt-4.1-nano,detailed,0.0,Чем являлась Новая Рейнская газета для К. Маркса и Ф. Энгельса?,Партийной прессой.,средство для борьбы,1.2311365604400635,19
41428,openai/gpt-4.1-nano,detailed,0.0,"На сколько процентов объём отгруженных товаров собственного производства, выполненных работ и услуг по крупным и средним промышленным предприятиям в 2010 году больше, чем в 2009 году?","На 26,1 процента больше.","26,1 процента",1.0587310791015625,13
63271,openai/gpt-4.1-nano,detailed,0.0,Сколько лет происходит развитие мозговой массы?,до 20 лет.,до 20 лет,1.4743614196777344,9
68313,openai/gpt-4.1-nano,detailed,0.0,Что появилось вследствие сравнительно-исторического исследования индоиранской ветви индоевропейских языков?,термин индоиранские языки,термин индоиранские языки,1.0508906841278076,25
80474,openai/gpt-4.1-nano,detailed,0.0,Вследствие чего возникают сезоны?,вследствие наклона земной оси относительно плоскости орбиты,наклон земной оси,0.7607254981994629,17
66281,openai/gpt-4.1-nano,detailed,0.0,"Какой статьей допускаются исключения в отношении запрета, установленного частью 6 статьи 9?",частью 4 статьи 9 Закона о торговле,часть 4 статьи 9,1.671567678451538,16
45026,openai/gpt-4.1-nano,detailed,0.0,"При игре на каком инструменте используется ударный способ, когда медные тангеноты вдавливают струны в твёрдую поверхность и заставляют их вибрировать от удара?",на клавикорде,клавикорд,0.74786376953125,9
59480,openai/gpt-4.1-nano,detailed,0.0,Кто частично финансировал проект Луи?,старший брат Огюст,Огюст,0.9158103466033936,5
76436,openai/gpt-4.1-nano,detailed,0.0,Что образуется в результате выделения газов при быстром застывании кислых и средних лав?,пористое вулканическое стекло,Пемза,1.0497820377349854,5
14891,openai/gpt-4.1-nano,detailed,0.0,Для чего пути кладутся с учётом габаритов подвижного состава?,"для безопасного прохода по мостам, тоннелям и другим строениям",Обеспечение безопасности,1.3860723972320557,24
20762,openai/gpt-4.1-nano,detailed,0.0,"Что оценивают, определяя меру развития государственного регулирования?","селективное регулирование, антициклическое регулирование, программирование",меру развития государственного регулирования,1.04594087600708,44
82940,openai/gpt-4.1-nano,detailed,0.0,На что надеется автор?,это поможет решить проблемы человеческого общества,решение проблем,0.8213238716125488,15
379,openai/gpt-4.1-nano,detailed,0.0,Куда Карл неоднократно вторгался?,В Бретань.,Бретань,0.8208239078521729,7
28946,openai/gpt-4.1-nano,detailed,0.0,Что позволила изобразить писателю свойственная ему объективность?,Динамику внутренней жизни героев.,глубоко и правдиво,1.4249544143676758,18
42607,openai/gpt-4.1-nano,detailed,0.0,"В каком году Сакс приехал в Париж, для того, чтобы продвинуть саксофон?",1842,1842,0.830068826675415,4
43591,openai/gpt-4.1-nano,detailed,0.0,Какой фасад имеет вид театральной декорации?,Двухъярусный,Двухъярусный,1.1008238792419434,12
80345,openai/gpt-4.1-nano,detailed,0.0,С какого момепнта управлению Сибирью перешло к казанскому дворцу?,С 1599 г.,с 1599 г.,1.3496549129486084,9
8167,openai/gpt-4.1-nano,detailed,0.0,"Как называлось первое устройство, использующееся только в качестве микрофона?",угольный микрофон Эдисона,угольный микрофон Эдисона,0.8240013122558594,25
36561,openai/gpt-4.1-nano,detailed,0.0,В каком году было подписано соглашение между MasterCard International и европейской системой Eurocard?,В 1968 г.,1968,0.7129356861114502,4
58300,openai/gpt-4.1-nano,detailed,0.0,При какое температуре происходит возбуждение вращательных уровней молекулы CO?,в несколько десятков кельвин,несколько десятков кельвин,0.8257534503936768,26
16443,openai/gpt-4.1-nano,detailed,0.0,С помощью чего могут быть изменены вариации ВМП?,При помощи спутниковой альтиметрии.,сезонные изменения,1.7369394302368164,18
49387,openai/gpt-4.1-nano,detailed,0.0,Какие есть виды смешанного состава облаков,"кучево-дождевые, слоисто-дождевые, высоко-слоистые","кучево-дождевые, слоисто-дождевые, высоко-слоистые",1.0383706092834473,50
47221,openai/gpt-4.1-nano,detailed,0.0,Что такое донорство крови и ее компонентов?,добровольная сдача крови,добровольная сдача,1.3155794143676758,18
79474,openai/gpt-4.1-nano,detailed,0.0,Как у других особей могут быть распределены побелевшие участки?,Несимметрично.,несимметрично,0.5912201404571533,13
83826,openai/gpt-4.1-nano,detailed,0.0,ктоо завоевал Пиренейский полуостров?,римлянами,римляне,1.556711196899414,7
34127,openai/gpt-4.1-nano,detailed,0.0,Когда возрастают агентские издержки?,При переходе к понижающей фазе деловой активности,при переходе к понижающей фазе деловой активности,0.9210069179534912,49
28839,openai/gpt-4.1-nano,detailed,0.0,Чего требуют от культуристов высокие темпы восстановления и роста мышц?,соблюдения специализированной диеты,специализированной диеты,1.1458852291107178,24
41551,openai/gpt-4.1-nano,detailed,0.0,В чем могут наблюдаться точно такие же феномены?,В свободном программном обеспечении,В свободном программном обеспечении,1.0588433742523193,35
