id,model,variant,temperature,question,reference,prediction,latency,pred_len
69207,google/gemini-2.5-flash-lite,detailed,0.0,Какое право существовало у лордов,отвергать билль,отвергать билль,0.4601612091064453,15
23039,google/gemini-2.5-flash-lite,detailed,0.0,Чему неуклонно следуют банки?,Требованиям обязательного резервирования.,нормативно установленному минимуму,0.46530675888061523,34
77659,google/gemini-2.5-flash-lite,detailed,0.0,Сколько тысяч лет назад началась эпоха экстремальных затоплений?,16 тыс. л. н,16,0.6313598155975342,2
4889,google/gemini-2.5-flash-lite,detailed,0.0,Какой феномен создан людьми для достижения его в максимально отдаленном будущем?,Феномена последнего человека на земле .,феномен последнего человека на земле,1.0495448112487793,36
18286,google/gemini-2.5-flash-lite,detailed,0.0,"Что как и автобус, движется по автомобильной дороге с твёрдым покрытием?",Троллейбус,Троллейбус,0.6752631664276123,10
21733,google/gemini-2.5-flash-lite,detailed,0.0,Как расположены островные платформы на станциях с остановкой экспресса?,между путями одного направления,между путями одного направления,0.3637504577636719,31
13047,google/gemini-2.5-flash-lite,detailed,0.0,Какой аспект вызывает большое количество споров между религиозными и научными взглядами?,аспект эволюционной биологии,происхождение человека,0.5763387680053711,22
39949,google/gemini-2.5-flash-lite,detailed,0.0,Кто в 1974 году записал рок-альбом Benzaiten?,Osamu Kitajima,Osamu Kitajima,0.5259273052215576,14
19528,google/gemini-2.5-flash-lite,detailed,0.0,Какие системы стали крупными вехами в области систематики?,системы Симпсона,системы Симпсона и Маккенны,0.584355354309082,27
59486,google/gemini-2.5-flash-lite,detailed,0.0,Каким сообщением шел поезд №12?,Смоленск — Раненбург,Смоленск — Раненбург,0.4236488342285156,20
36533,google/gemini-2.5-flash-lite,detailed,0.0,Чего не имеет большинство прокариотических клеток?,внутренних мембран,внутренних мембран,0.5263056755065918,18
2041,google/gemini-2.5-flash-lite,detailed,0.0,"Какая промышленность отдаёт предпочтение тутовому, или шелковичному, шелкопряду?",Текстильная,Текстильная промышленность,1.083418607711792,26
44742,google/gemini-2.5-flash-lite,detailed,0.0,Что делают археоциты и хоаноциты?,переваривают пищу в пищеварительных вакуолях,переваривают пищу в пищеварительных вакуолях,0.5417823791503906,44
59701,google/gemini-2.5-flash-lite,detailed,0.0,В какие годы производилась бас-мандолина Гибсон Мандо-бас Фирмой Гибсон ?,С 1912 по 1930 годы.,с 1912 по 1930 годы,0.5339481830596924,19
27575,google/gemini-2.5-flash-lite,detailed,0.0,В чем роль специалиста по связям с общественность?,в коммуникации с массовой аудиторией различными способами,коммуникация с массовой аудиторией,0.4088163375854492,34
15585,google/gemini-2.5-flash-lite,detailed,0.0,Чем являлась Новая Рейнская газета для К. Маркса и Ф. Энгельса?,Партийной прессой.,редактируемая ими газета,0.5617406368255615,24
41428,google/gemini-2.5-flash-lite,detailed,0.0,"На сколько процентов объём отгруженных товаров собственного производства, выполненных работ и услуг по крупным и средним промышленным предприятиям в 2010 году больше, чем в 2009 году?","На 26,1 процента больше.","26,1 процента",0.6059625148773193,13
63271,google/gemini-2.5-flash-lite,detailed,0.0,Сколько лет происходит развитие мозговой массы?,до 20 лет.,до 20 лет,0.37677860260009766,9
68313,google/gemini-2.5-flash-lite,detailed,0.0,Что появилось вследствие сравнительно-исторического исследования индоиранской ветви индоевропейских языков?,термин индоиранские языки,термин индоиранские языки,0.4620656967163086,25
80474,google/gemini-2.5-flash-lite,detailed,0.0,Вследствие чего возникают сезоны?,вследствие наклона земной оси относительно плоскости орбиты,наклона земной оси,1.149047613143921,18
66281,google/gemini-2.5-flash-lite,detailed,0.0,"Какой статьей допускаются исключения в отношении запрета, установленного частью 6 статьи 9?",частью 4 статьи 9 Закона о торговле,частью 4 статьи 9,0.3868119716644287,17
45026,google/gemini-2.5-flash-lite,detailed,0.0,"При игре на каком инструменте используется ударный способ, когда медные тангеноты вдавливают струны в твёрдую поверхность и заставляют их вибрировать от удара?",на клавикорде,клавикорд,0.3952450752258301,9
59480,google/gemini-2.5-flash-lite,detailed,0.0,Кто частично финансировал проект Луи?,старший брат Огюст,старший брат Огюст,0.420515775680542,18
76436,google/gemini-2.5-flash-lite,detailed,0.0,Что образуется в результате выделения газов при быстром застывании кислых и средних лав?,пористое вулканическое стекло,пемза,0.5352497100830078,5
14891,google/gemini-2.5-flash-lite,detailed,0.0,Для чего пути кладутся с учётом габаритов подвижного состава?,"для безопасного прохода по мостам, тоннелям и другим строениям","для безопасного прохода по мостам, тоннелям и другим строениям",0.41573095321655273,62
20762,google/gemini-2.5-flash-lite,detailed,0.0,"Что оценивают, определяя меру развития государственного регулирования?","селективное регулирование, антициклическое регулирование, программирование","антимонополистическое регулирование, селективное регулирование, антициклическое регулирование, программирование",0.5972721576690674,111
82940,google/gemini-2.5-flash-lite,detailed,0.0,На что надеется автор?,это поможет решить проблемы человеческого общества,решить проблемы человеческого общества в 21 веке,0.6876964569091797,48
379,google/gemini-2.5-flash-lite,detailed,0.0,Куда Карл неоднократно вторгался?,В Бретань.,Бретань,0.5434651374816895,7
28946,google/gemini-2.5-flash-lite,detailed,0.0,Что позволила изобразить писателю свойственная ему объективность?,Динамику внутренней жизни героев.,динамику внутренней жизни героев,0.8338413238525391,32
42607,google/gemini-2.5-flash-lite,detailed,0.0,"В каком году Сакс приехал в Париж, для того, чтобы продвинуть саксофон?",1842,1842,0.5038321018218994,4
43591,google/gemini-2.5-flash-lite,detailed,0.0,Какой фасад имеет вид театральной декорации?,Двухъярусный,Двухъярусный,0.4404768943786621,12
80345,google/gemini-2.5-flash-lite,detailed,0.0,С какого момепнта управлению Сибирью перешло к казанскому дворцу?,С 1599 г.,с 1599 г,0.3937861919403076,8
8167,google/gemini-2.5-flash-lite,detailed,0.0,"Как называлось первое устройство, использующееся только в качестве микрофона?",угольный микрофон Эдисона,угольный микрофон Эдисона,0.8432421684265137,25
36561,google/gemini-2.5-flash-lite,detailed,0.0,В каком году было подписано соглашение между MasterCard International и европейской системой Eurocard?,В 1968 г.,1968,1.2370307445526123,4
58300,google/gemini-2.5-flash-lite,detailed,0.0,При какое температуре происходит возбуждение вращательных уровней молекулы CO?,в несколько десятков кельвин,несколько десятков кельвин,0.4830448627471924,26
16443,google/gemini-2.5-flash-lite,detailed,0.0,С помощью чего могут быть изменены вариации ВМП?,При помощи спутниковой альтиметрии.,спутниковой альтиметрии,0.499377965927124,23
49387,google/gemini-2.5-flash-lite,detailed,0.0,Какие есть виды смешанного состава облаков,"кучево-дождевые, слоисто-дождевые, высоко-слоистые","кучево-дождевые, слоисто-дождевые, высоко-слоистые",0.41571784019470215,50
47221,google/gemini-2.5-flash-lite,detailed,0.0,Что такое донорство крови и ее компонентов?,добровольная сдача крови,"добровольная сдача крови и (или) её компонентов донорами, а также мероприятия, направленные на организацию и обеспечение безопасности заготовки крови и её компонентов",0.546339750289917,166
79474,google/gemini-2.5-flash-lite,detailed,0.0,Как у других особей могут быть распределены побелевшие участки?,Несимметрично.,несимметрично,0.5489771366119385,13
