id,model,variant,temperature,question,reference,prediction,latency,pred_len
69207,anthropic/claude-3-haiku,fewshot,0.0,Какое право существовало у лордов,отвергать билль,нет ответа,0.6516387462615967,10
23039,anthropic/claude-3-haiku,fewshot,0.0,Чему неуклонно следуют банки?,Требованиям обязательного резервирования.,нормативно установленному минимуму,0.6814680099487305,34
77659,anthropic/claude-3-haiku,fewshot,0.0,Сколько тысяч лет назад началась эпоха экстремальных затоплений?,16 тыс. л. н,16 тыс. л. н.,0.8199152946472168,13
4889,anthropic/claude-3-haiku,fewshot,0.0,Какой феномен создан людьми для достижения его в максимально отдаленном будущем?,Феномена последнего человека на земле .,последний человек на земле,0.5651979446411133,26
18286,anthropic/claude-3-haiku,fewshot,0.0,"Что как и автобус, движется по автомобильной дороге с твёрдым покрытием?",Троллейбус,Троллейбус,0.6091196537017822,10
21733,anthropic/claude-3-haiku,fewshot,0.0,Как расположены островные платформы на станциях с остановкой экспресса?,между путями одного направления,между путями одного направления,0.8281183242797852,31
13047,anthropic/claude-3-haiku,fewshot,0.0,Какой аспект вызывает большое количество споров между религиозными и научными взглядами?,аспект эволюционной биологии,происхождение человека,1.6130375862121582,22
39949,anthropic/claude-3-haiku,fewshot,0.0,Кто в 1974 году записал рок-альбом Benzaiten?,Osamu Kitajima,Osamu Kitajima,0.5259761810302734,14
19528,anthropic/claude-3-haiku,fewshot,0.0,Какие системы стали крупными вехами в области систематики?,системы Симпсона,Системы Симпсона и Маккенны,0.6770215034484863,27
59486,anthropic/claude-3-haiku,fewshot,0.0,Каким сообщением шел поезд №12?,Смоленск — Раненбург,Смоленск — Раненбург,0.9899740219116211,20
36533,anthropic/claude-3-haiku,fewshot,0.0,Чего не имеет большинство прокариотических клеток?,внутренних мембран,внутренних мембран,0.5859498977661133,18
2041,anthropic/claude-3-haiku,fewshot,0.0,"Какая промышленность отдаёт предпочтение тутовому, или шелковичному, шелкопряду?",Текстильная,Текстильная промышленность,0.8236217498779297,26
44742,anthropic/claude-3-haiku,fewshot,0.0,Что делают археоциты и хоаноциты?,переваривают пищу в пищеварительных вакуолях,Переваривают пищу,0.5980672836303711,17
59701,anthropic/claude-3-haiku,fewshot,0.0,В какие годы производилась бас-мандолина Гибсон Мандо-бас Фирмой Гибсон ?,С 1912 по 1930 годы.,1912 по 1930 годы,0.5263833999633789,17
27575,anthropic/claude-3-haiku,fewshot,0.0,В чем роль специалиста по связям с общественность?,в коммуникации с массовой аудиторией различными способами,коммуникация,1.2125303745269775,12
15585,anthropic/claude-3-haiku,fewshot,0.0,Чем являлась Новая Рейнская газета для К. Маркса и Ф. Энгельса?,Партийной прессой.,средством для борьбы с буржуазной прессой,0.6858739852905273,41
41428,anthropic/claude-3-haiku,fewshot,0.0,"На сколько процентов объём отгруженных товаров собственного производства, выполненных работ и услуг по крупным и средним промышленным предприятиям в 2010 году больше, чем в 2009 году?","На 26,1 процента больше.","26,1 процента",1.0552737712860107,13
63271,anthropic/claude-3-haiku,fewshot,0.0,Сколько лет происходит развитие мозговой массы?,до 20 лет.,20 лет,0.6508388519287109,6
68313,anthropic/claude-3-haiku,fewshot,0.0,Что появилось вследствие сравнительно-исторического исследования индоиранской ветви индоевропейских языков?,термин индоиранские языки,термин индоиранские языки,0.6497247219085693,25
80474,anthropic/claude-3-haiku,fewshot,0.0,Вследствие чего возникают сезоны?,вследствие наклона земной оси относительно плоскости орбиты,наклона земной оси,0.686093807220459,18
66281,anthropic/claude-3-haiku,fewshot,0.0,"Какой статьей допускаются исключения в отношении запрета, установленного частью 6 статьи 9?",частью 4 статьи 9 Закона о торговле,часть 4 статьи 9,1.4918901920318604,16
45026,anthropic/claude-3-haiku,fewshot,0.0,"При игре на каком инструменте используется ударный способ, когда медные тангеноты вдавливают струны в твёрдую поверхность и заставляют их вибрировать от удара?",на клавикорде,клавикорде,0.7420079708099365,10
59480,anthropic/claude-3-haiku,fewshot,0.0,Кто частично финансировал проект Луи?,старший брат Огюст,Огюст,0.6416566371917725,5
76436,anthropic/claude-3-haiku,fewshot,0.0,Что образуется в результате выделения газов при быстром застывании кислых и средних лав?,пористое вулканическое стекло,пемза,0.8940417766571045,5
14891,anthropic/claude-3-haiku,fewshot,0.0,Для чего пути кладутся с учётом габаритов подвижного состава?,"для безопасного прохода по мостам, тоннелям и другим строениям",безопасность,1.0828754901885986,12
20762,anthropic/claude-3-haiku,fewshot,0.0,"Что оценивают, определяя меру развития государственного регулирования?","селективное регулирование, антициклическое регулирование, программирование",мера развития государственного регулирования,1.244255781173706,44
82940,anthropic/claude-3-haiku,fewshot,0.0,На что надеется автор?,это поможет решить проблемы человеческого общества,что это поможет решить проблемы человеческого общества в 21 веке,0.7201175689697266,64
379,anthropic/claude-3-haiku,fewshot,0.0,Куда Карл неоднократно вторгался?,В Бретань.,Бретань,0.6532070636749268,7
28946,anthropic/claude-3-haiku,fewshot,0.0,Что позволила изобразить писателю свойственная ему объективность?,Динамику внутренней жизни героев.,динамику внутренней жизни героев,0.6536879539489746,32
42607,anthropic/claude-3-haiku,fewshot,0.0,"В каком году Сакс приехал в Париж, для того, чтобы продвинуть саксофон?",1842,1842,0.6447780132293701,4
43591,anthropic/claude-3-haiku,fewshot,0.0,Какой фасад имеет вид театральной декорации?,Двухъярусный,двухъярусный фасад,1.211449384689331,18
80345,anthropic/claude-3-haiku,fewshot,0.0,С какого момепнта управлению Сибирью перешло к казанскому дворцу?,С 1599 г.,1599 г.,1.2390458583831787,7
8167,anthropic/claude-3-haiku,fewshot,0.0,"Как называлось первое устройство, использующееся только в качестве микрофона?",угольный микрофон Эдисона,угольный микрофон Эдисона,0.6936185359954834,25
36561,anthropic/claude-3-haiku,fewshot,0.0,В каком году было подписано соглашение между MasterCard International и европейской системой Eurocard?,В 1968 г.,1968,0.7400591373443604,4
58300,anthropic/claude-3-haiku,fewshot,0.0,При какое температуре происходит возбуждение вращательных уровней молекулы CO?,в несколько десятков кельвин,несколько десятков кельвин,1.6393036842346191,26
16443,anthropic/claude-3-haiku,fewshot,0.0,С помощью чего могут быть изменены вариации ВМП?,При помощи спутниковой альтиметрии.,спутниковой альтиметрии,0.8189854621887207,23
49387,anthropic/claude-3-haiku,fewshot,0.0,Какие есть виды смешанного состава облаков,"кучево-дождевые, слоисто-дождевые, высоко-слоистые","кучево-дождевые, слоисто-дождевые, высоко-слоистые",0.8151731491088867,50
47221,anthropic/claude-3-haiku,fewshot,0.0,Что такое донорство крови и ее компонентов?,добровольная сдача крови,добровольная сдача крови и (или) её компонентов донорами,0.7706658840179443,56
79474,anthropic/claude-3-haiku,fewshot,0.0,Как у других особей могут быть распределены побелевшие участки?,Несимметрично.,несимметрично,0.8750226497650146,13
83826,anthropic/claude-3-haiku,fewshot,0.0,ктоо завоевал Пиренейский полуостров?,римлянами,римляне,2.4317543506622314,7
34127,anthropic/claude-3-haiku,fewshot,0.0,Когда возрастают агентские издержки?,При переходе к понижающей фазе деловой активности,при переходе к понижающей фазе деловой активности,0.6931219100952148,49
28839,anthropic/claude-3-haiku,fewshot,0.0,Чего требуют от культуристов высокие темпы восстановления и роста мышц?,соблюдения специализированной диеты,соблюдения специализированной диеты,0.6373023986816406,35
41551,anthropic/claude-3-haiku,fewshot,0.0,В чем могут наблюдаться точно такие же феномены?,В свободном программном обеспечении,в свободном программном обеспечении,0.6673555374145508,35
23146,anthropic/claude-3-haiku,fewshot,0.0,От чего зависело время нахождения под водой подводной лодки?,от заряда батарей и запаса кислорода,от заряда батарей и запаса кислорода,1.49871826171875,36
61553,anthropic/claude-3-haiku,fewshot,0.0,Какое название получила группа диффеоморфизмов?,имя групп Ли,группы Ли,1.0505292415618896,9
12830,anthropic/claude-3-haiku,fewshot,0.0,Какая система в 1920 году после установления советской власти в Азербайджане была значительно перестроена?,финансово-кредитная система,финансово-кредитная система,0.9999935626983643,27
7518,anthropic/claude-3-haiku,fewshot,0.0,С чем взаимосвязано распространение гена светлой кожи SLC24A5 по Центральной и Южной Европе?,миграцией неолитических земледельцев с Ближнего Востока,миграцией неолитических земледельцев с Ближнего Востока,0.9207220077514648,55
59283,anthropic/claude-3-haiku,fewshot,0.0,Что может быть местом совершения сделок спот?,Межбанковский валютный рынок,"межбанковский валютный рынок, фондовые и иные биржи, а также внебиржевые рынки (товарный, фондовый и валютный)",1.9269347190856934,110
24823,anthropic/claude-3-haiku,fewshot,0.0,Какая марка автомобилей производится с использованием большого количества труда и только некоторых станков общего назначения?,Лотус,Лотус,0.658085823059082,5
51886,anthropic/claude-3-haiku,fewshot,0.0,Какой формат экрана используется в телевидении высокой чёткости?,16:9,16:9,3.6640892028808594,4
1015,anthropic/claude-3-haiku,fewshot,0.0,Что вдохновило Байрона на сочинение Шильонского узника ?,История Шильонского замка,История Шильонского замка,0.8266751766204834,25
40635,anthropic/claude-3-haiku,fewshot,0.0,К кому перешло лидерство в области реактивной пассажирской авиации,к Советскому Союзу с авиалайнером Ту-104,Советскому Союзу,0.7993288040161133,16
40076,anthropic/claude-3-haiku,fewshot,0.0,Что стало причиной упадка города?,море продолжило отступать,отступание моря,0.6960821151733398,15
47702,anthropic/claude-3-haiku,fewshot,0.0,Когда в Исландии введен запрет на получение иностранных пожертвований для политических партий?,В 1978 году.,1978,0.7467472553253174,4
48941,anthropic/claude-3-haiku,fewshot,0.0,Где Дилан навестил Боба?,В психлечебнице,в психлечебнице,0.6989448070526123,15
22331,anthropic/claude-3-haiku,fewshot,0.0,Какими были отношения Бунина и Ходасевича до переезда во Францию?,поверхностными,поверхностными,0.9840681552886963,14
49,anthropic/claude-3-haiku,fewshot,0.0,Какую температуру пламени может достигать ацетилен при сгорании в кислороде?,3150 °C,3150 °C,0.8602521419525146,7
31677,anthropic/claude-3-haiku,fewshot,0.0,Чем оно дополняется?,Творческой самобытностью художника,творческой самобытностью,0.9949684143066406,24
16005,anthropic/claude-3-haiku,fewshot,0.0,Как звучало первое письменное упоминание названия чешского языка на латинском языке?,lingua Sclavonica,lingua Sclavonica,2.986513376235962,17
55523,anthropic/claude-3-haiku,fewshot,0.0,Что такое конвекция?,Перенос тепла теплопроводностью.,перенос тепла,0.659264326095581,13
11530,anthropic/claude-3-haiku,fewshot,0.0,Во сколько раз увеличился капитал в 1914 году?,в шесть раз,в шесть раз,1.0111727714538574,11
42356,anthropic/claude-3-haiku,fewshot,0.0,Кем представлены головоногие?,примитивными наутилоидами,Наутилусами,0.5099561214447021,11
33481,anthropic/claude-3-haiku,fewshot,0.0,Какую шерсть перерабптывают По аппаратной системе прядения,короткую шерсть,короткую,0.6178984642028809,8
29396,anthropic/claude-3-haiku,fewshot,0.0,Какова длина микровиллей?,2/3 длины жгутика,2/3 длины жгутика,1.6429941654205322,17
69135,anthropic/claude-3-haiku,fewshot,0.0,"Что, кроме объективной информации, позволяет передавать искусство?","эмоции, настроение, чувства","эмоции, настроение, чувства",0.8543484210968018,27
68109,anthropic/claude-3-haiku,fewshot,0.0,"Для чего Ивану Грозному нужна была крепость, сооруженная разборно-сборным способом?",в качестве опорной базы перед походом на Казань,опорная база,0.5197818279266357,12
3010,anthropic/claude-3-haiku,fewshot,0.0,Что нужно было сделать нацистскому правительству после упразднения профсоюзов?,облегчить рабочие условия и улучшить индустриальные отношения,облегчить рабочие условия и улучшить индустриальные отношения,0.7685637474060059,61
32818,anthropic/claude-3-haiku,fewshot,0.0,Что такое метромост?,"мост, по которому проходит линия метрополитена.","мост, по которому проходит линия метрополитена",0.9371480941772461,46
10831,anthropic/claude-3-haiku,fewshot,0.0,Где всё чаще требуется понимание функций мозга?,"в психологической теории и практике, особенно в области искусственного интеллекта, нейропсихологии, и когнитивной нейробиологии.",в психологической теории и практике,0.7776260375976562,35
80738,anthropic/claude-3-haiku,fewshot,0.0,Какие народы оказали влияние на этногенез финикийцев?,индоевропейские народы моря,"мезолитическое население Ближнего Востока и Кавказа, семиты, индоевропейские народы моря",0.9459853172302246,88
79771,anthropic/claude-3-haiku,fewshot,0.0,На сколько данный вид морозоустойчив?,выдерживает понижения температуры до −20 °С,-20 °С,0.5959279537200928,6
7669,anthropic/claude-3-haiku,fewshot,0.0,От чего не зависит или слабо зависит скорость накопления мутаций в данном гене?,от действия естественного отбора,естественного отбора,1.5805785655975342,20
65759,anthropic/claude-3-haiku,fewshot,0.0,Как часто одиночные осы-бембексы приносят своим личинкам по несколько убитых мух?,ежедневно,ежедневно,0.7274975776672363,9
8218,anthropic/claude-3-haiku,fewshot,0.0,Когда происходит устойчивое залегание снежного покрова в Гомеле?,с 20 декабря по 15 марта,с 20 декабря по 15 марта,0.8276700973510742,24
45169,anthropic/claude-3-haiku,fewshot,0.0,От пожеланий кого на практике зависит исполнение требований нормативов по оборудованию подземных метрополитенов,заказчика,заказчика,0.8816194534301758,9
50269,anthropic/claude-3-haiku,fewshot,0.0,"в какое время Федеральный резервный банк Бостона, в рамках Федеральной резервной системы, способствует ценовой стабильности и устойчивого экономического роста в Новой Англии и нации?",В настоящее время,В настоящее время,0.5708515644073486,17
82234,anthropic/claude-3-haiku,fewshot,0.0,Что помимо громадного научного и исторического значения имеет наследие Леонардо да Винчи?,художественную ценность,художественную ценность,1.3720674514770508,23
3717,anthropic/claude-3-haiku,fewshot,0.0,Кто выступает в поддержку фискальной политики?,представители кейнсианской мысли,кейнсианцы,0.7544100284576416,10
35675,anthropic/claude-3-haiku,fewshot,0.0,"Какой окончательный итог подводят следователи, если видят противоположное направление в положении тела и веревки?",имело место убийство,убийство,0.5676453113555908,8
23933,anthropic/claude-3-haiku,fewshot,0.0,Сколько лет назад вымерли животные из ряда характерных для плейстоценовой фауны родов?,10—12 тыс. лет назад,10—12 тыс. лет назад,0.7241373062133789,20
